N,kappa,Om,aO,reGa,imGa,psi,ok
4,0.6070234113712375,1.103589483843,-273.85106946553606,0.6381945856809035,-0.020279475165721834,0.03177631966915737,True
4,0.6070234113712375,1.110148911996335,-755.6220259163915,0.6461723948351564,-0.020955664072004446,0.03243045391524409,True
4,0.9230769230769231,2.569890618626525,27286.061800513293,-0.26241953586064487,-0.006327719628340791,0.024112989940280435,True
4,0.9230769230769231,2.5652681402485378,46327.502615550744,-0.26414965120788697,-0.006401237211458277,0.024233373703834552,True
4,0.42642140468227424,1.995188117895729,11168.960306262576,-0.38935663508914853,-0.01060086011608545,0.027226607076204667,True
4,0.42642140468227424,1.9895560408701576,21155.924260618518,-0.39291241990385734,-0.010773990869956132,0.027420845776757186,True
4,0.5016722408026756,1.6494891360081356,8656.214641389326,-0.755013967202653,-0.03581158498621935,0.0474316854281547,True
4,0.5016722408026756,1.6521822755305686,6032.409685918782,-0.7493991269383692,-0.035383156514869556,0.04721536927781806,True
4,0.16555183946488294,1.1011688509307793,-20.38856252613297,1.4832336947915772,-0.2670303135573034,0.18003252926021632,True
4,0.16555183946488294,1.1093522436642667,-85.34175256272313,1.6018728285147872,-0.3157312714416369,0.19710133402685548,True
4,0.717391304347826,1.9903675496515383,18803.054806171283,-0.5597642850468838,-0.02689862166281558,0.04805347961876962,True
4,0.717391304347826,1.9891705592194393,22966.296646886873,-0.5615663529170952,-0.027079222690127084,0.048220878173099564,True
4,0.14046822742474918,1.3833349498233476,749.5467388179966,-1.4661158022801843,-0.11377057982177982,0.07759999561074066,True
4,0.14046822742474918,1.379915222023146,964.2400858350663,-1.4879338267622055,-0.11689195195085425,0.07855991298028024,True
4,0.7073578595317725,2.1902916388590477,3800.603712988959,-0.5388234914684752,-0.054523716021248794,0.1011903097852199,True
