J,fd,F,code,kind
5.0,-51.10707870309242,185.57625706767834,0,real
5.0,-51.10707870309242,189.53342947513246,0,real
5.0,-51.10707870309242,193.4906018825866,0,real
5.0,-51.10707870309242,197.4477742900407,0,real
5.0,-51.10707870309242,201.40494669749484,0,real
5.0,-51.10707870309242,205.36211910494893,0,real
5.0,-51.10707870309242,209.31929151240303,0,real
5.0,-51.10707870309242,213.27646391985715,0,real
5.0,-51.10707870309242,217.23363632731127,0,real
5.0,-51.10707870309242,221.19080873476537,0,real
5.0,-51.10707870309242,225.1479811422195,0,real
5.0,-51.10707870309242,229.10515354967362,0,real
5.0,-51.083878703092424,148.24846069659608,0,real
5.0,-51.083878703092424,151.9338341746028,0,real
5.0,-51.083878703092424,155.6192076526095,0,real
5.0,-51.083878703092424,159.3045811306162,0,real
5.0,-51.083878703092424,162.9899546086229,0,real
5.0,-51.083878703092424,166.6753280866296,0,real
5.0,-51.083878703092424,170.36070156463632,0,real
5.0,-51.083878703092424,174.04607504264303,0,real
5.0,-51.083878703092424,177.73144852064974,0,real
5.0,-51.083878703092424,181.41682199865645,0,real
5.0,-51.083878703092424,185.10219547666316,0,real
5.0,-51.083878703092424,188.78756895466987,0,real
5.0,-51.083878703092424,192.47294243267658,0,real
5.0,-51.083878703092424,196.15831591068329,0,real
5.0,-51.083878703092424,199.84368938869,0,real
5.0,-51.083878703092424,203.5290628666967,0,real
5.0,-51.083878703092424,207.21443634470342,0,real
5.0,-51.083878703092424,210.8998098227101,0,real
5.0,-51.083878703092424,214.58518330071684,0,real
5.0,-51.083878703092424,218.27055677872352,0,real
5.0,-51.083878703092424,221.95593025673023,0,real
5.0,-51.083878703092424,225.64130373473694,0,real
5.0,-51.06067870309242,150.5933111904298,0,real
5.0,-51.06067870309242,154.0011902454886,0,real
5.0,-51.06067870309242,157.40906930054743,0,real
5.0,-51.06067870309242,160.81694835560626,0,real
5.0,-51.06067870309242,164.22482741066506,0,real
5.0,-51.06067870309242,167.63270646572389,0,real
5.0,-51.06067870309242,171.04058552078268,0,real
5.0,-51.06067870309242,174.4484645758415,0,real
5.0,-51.06067870309242,177.8563436309003,0,real
5.0,-51.06067870309242,181.26422268595914,0,real
5.0,-51.06067870309242,184.67210174101797,0,real
5.0,-51.06067870309242,188.07998079607677,0,real
5.0,-51.06067870309242,191.4878598511356,0,real
5.0,-51.06067870309242,194.89573890619442,0,real
5.0,-51.06067870309242,198.30361796125322,0,real
5.0,-51.06067870309242,201.71149701631205,0,real
5.0,-51.06067870309242,205.11937607137085,0,real
5.0,-51.06067870309242,208.52725512642968,0,real
5.0,-51.06067870309242,211.93513418148848,0,real
5.0,-51.06067870309242,215.3430132365473,0,real
5.0,-51.06067870309242,218.75089229160614,0,real
5.0,-51.06067870309242,222.15877134666493,0,real
5.0,-51.037478703092425,153.04189645394163,0,real
5.0,-51.037478703092425,156.16692253981205,0,real
5.0,-51.037478703092425,159.29194862568247,0,real
5.0,-51.037478703092425,162.41697471155288,0,real
5.0,-51.037478703092425,165.5420007974233,0,real
5.0,-51.037478703092425,168.66702688329372,0,real
5.0,-51.037478703092425,171.79205296916413,0,real
5.0,-51.037478703092425,174.91707905503455,0,real
5.0,-51.037478703092425,178.04210514090497,0,real
5.0,-51.037478703092425,181.16713122677538,0,real
5.0,-51.037478703092425,184.29215731264577,0,real
5.0,-51.037478703092425,187.41718339851622,0,real
5.0,-51.037478703092425,190.54220948438663,0,real
5.0,-51.037478703092425,193.66723557025705,0,real
5.0,-51.037478703092425,196.79226165612744,0,real
5.0,-51.037478703092425,199.91728774199785,0,real
5.0,-51.037478703092425,203.04231382786827,0,real
5.0,-51.037478703092425,206.1673399137387,0,real
5.0,-51.037478703092425,209.2923659996091,0,real
5.0,-51.037478703092425,212.41739208547952,0,real
5.0,-51.037478703092425,215.54241817134994,0,real
5.0,-51.037478703092425,218.66744425722032,0,real
5.0,-51.01427870309242,155.5963353599449,0,real
5.0,-51.01427870309242,158.43363629180575,0,real
5.0,-51.01427870309242,161.27093722366658,0,real
5.0,-51.01427870309242,164.1082381555274,0,real
5.0,-51.01427870309242,166.94553908738825,0,real
5.0,-51.01427870309242,169.78284001924908,0,real
5.0,-51.01427870309242,172.62014095110993,0,real
5.0,-51.01427870309242,175.45744188297076,0,real
5.0,-51.01427870309242,178.29474281483158,0,real
5.0,-51.01427870309242,181.1320437466924,0,real
5.0,-51.01427870309242,183.96934467855326,0,real
5.0,-51.01427870309242,186.80664561041408,0,real
5.0,-51.01427870309242,189.64394654227493,0,real
5.0,-51.01427870309242,192.48124747413576,0,real
5.0,-51.01427870309242,195.31854840599658,0,real
5.0,-51.01427870309242,198.15584933785743,0,real
5.0,-51.01427870309242,200.99315026971826,0,real
5.0,-51.01427870309242,203.83045120157908,0,real
5.0,-51.01427870309242,206.66775213343993,0,real
5.0,-51.01427870309242,209.50505306530076,0,real
5.0,-51.01427870309242,212.34235399716158,0,real
5.0,-51.01427870309242,215.17965492902243,0,real
5.0,-50.99107870309242,158.2577204493725,0,real
5.0,-50.99107870309242,160.80310430336,0,real
5.0,-50.99107870309242,163.34848815734748,0,real
5.0,-50.99107870309242,165.89387201133496,0,real
5.0,-50.99107870309242,168.43925586532245,0,real
5.0,-50.99107870309242,170.98463971930994,0,real
5.0,-50.99107870309242,173.53002357329743,0,real
5.0,-50.99107870309242,176.07540742728492,0,real
5.0,-50.99107870309242,178.6207912812724,0,real
5.0,-50.99107870309242,181.1661751352599,0,real
5.0,-50.99107870309242,183.71155898924738,0,real
5.0,-50.99107870309242,186.25694284323487,0,real
5.0,-50.99107870309242,188.80232669722236,0,real
5.0,-50.99107870309242,191.34771055120984,0,real
5.0,-50.99107870309242,193.89309440519733,0,real
5.0,-50.99107870309242,196.43847825918482,0,real
5.0,-50.99107870309242,198.9838621131723,0,real
5.0,-50.99107870309242,201.5292459671598,0,real
5.0,-50.99107870309242,204.07462982114728,0,real
5.0,-50.99107870309242,206.62001367513477,0,real
5.0,-50.99107870309242,209.16539752912226,0,real
5.0,-50.99107870309242,211.71078138310975,0,real
5.0,-50.967878703092424,161.0256476682254,0,real
5.0,-50.967878703092424,163.2758564469289,0,real
5.0,-50.967878703092424,165.5260652256324,0,real
5.0,-50.967878703092424,167.7762740043359,0,real
5.0,-50.967878703092424,170.02648278303943,0,real
5.0,-50.967878703092424,172.27669156174292,0,real
5.0,-50.967878703092424,174.52690034044642,0,real
5.0,-50.967878703092424,176.77710911914994,0,real
5.0,-50.967878703092424,179.02731789785344,0,real
5.0,-50.967878703092424,181.27752667655693,0,real
5.0,-50.967878703092424,183.52773545526045,0,real
5.0,-50.967878703092424,185.77794423396395,0,real
5.0,-50.967878703092424,188.02815301266747,0,real
5.0,-50.967878703092424,190.27836179137097,0,real
5.0,-50.967878703092424,192.52857057007446,0,real
5.0,-50.967878703092424,194.778779348778,0,real
5.0,-50.967878703092424,197.02898812748148,0,real
5.0,-50.967878703092424,199.279196906185,0,real
5.0,-50.967878703092424,201.5294056848885,0,real
5.0,-50.967878703092424,203.779614463592,0,real
5.0,-50.967878703092424,206.0298232422955,0,real
5.0,-50.967878703092424,208.28003202099902,0,real
5.0,-50.94467870309242,163.89754149701832,0,real
5.0,-50.94467870309242,165.85058672222544,0,real
5.0,-50.94467870309242,167.8036319474326,0,real
5.0,-50.94467870309242,169.75667717263974,0,real
5.0,-50.94467870309242,171.70972239784686,0,real
5.0,-50.94467870309242,173.662767623054,0,real
5.0,-50.94467870309242,175.61581284826113,0,real
5.0,-50.94467870309242,177.56885807346828,0,real
5.0,-50.94467870309242,179.5219032986754,0,real
5.0,-50.94467870309242,181.47494852388255,0,real
5.0,-50.94467870309242,183.4279937490897,0,real
5.0,-50.94467870309242,185.3810389742968,0,real
5.0,-50.94467870309242,187.33408419950396,0,real
5.0,-50.94467870309242,189.2871294247111,0,real
5.0,-50.94467870309242,191.24017464991823,0,real
5.0,-50.94467870309242,193.19321987512538,0,real
