kappa,beta_1,branch,omega_cusp,F_cusp,y_cusp,alpha,beta
0.130000,0.050000,2,1.315306,8.541246e-01,8.035138e+00,-4.519765e-01,2.609487e-01
0.130000,0.146667,2,1.315306,4.987014e-01,2.739252e+00,-4.519765e-01,2.609487e-01
0.130000,0.243333,2,1.315306,3.871733e-01,1.651056e+00,-4.519765e-01,2.609487e-01
0.130000,0.340000,2,1.315306,3.275419e-01,1.181638e+00,-4.519765e-01,2.609487e-01
0.130000,0.436667,2,1.315306,2.890222e-01,9.200540e-01,-4.519765e-01,2.609487e-01
0.130000,0.533333,2,1.315306,2.615212e-01,7.532942e-01,-4.519765e-01,2.609487e-01
0.130000,0.630000,2,1.315306,2.406224e-01,6.377094e-01,-4.519765e-01,2.609487e-01
0.130000,0.726667,2,1.315306,2.240467e-01,5.528765e-01,-4.519765e-01,2.609487e-01
0.130000,0.823333,2,1.315306,2.104837e-01,4.879639e-01,-4.519765e-01,2.609487e-01
0.130000,0.920000,2,1.315306,1.991188e-01,4.366923e-01,-4.519765e-01,2.609487e-01
0.130000,1.016667,2,1.315306,1.894161e-01,3.951707e-01,-4.519765e-01,2.609487e-01
0.130000,1.113333,2,1.315306,1.810063e-01,3.608595e-01,-4.519765e-01,2.609487e-01
0.130000,1.210000,2,1.315306,1.736255e-01,3.320305e-01,-4.519765e-01,2.609487e-01
0.130000,1.306667,2,1.315306,1.670798e-01,3.074670e-01,-4.519765e-01,2.609487e-01
0.130000,1.403333,2,1.315306,1.612226e-01,2.862876e-01,-4.519765e-01,2.609487e-01
0.130000,1.500000,2,1.315306,1.559411e-01,2.678379e-01,-4.519765e-01,2.609487e-01
0.140000,0.050000,0,1.079173,4.225575e-02,1.082853e+00,-6.091050e-02,3.516670e-02
0.140000,0.146667,0,1.079173,2.467204e-02,3.691546e-01,-6.091050e-02,3.516670e-02
0.140000,0.243333,0,1.079173,1.915446e-02,2.225041e-01,-6.091050e-02,3.516670e-02
0.140000,0.340000,0,1.079173,1.620434e-02,1.592431e-01,-6.091050e-02,3.516670e-02
0.140000,0.436667,0,1.079173,1.429868e-02,1.239908e-01,-6.091050e-02,3.516670e-02
0.140000,0.533333,0,1.079173,1.293813e-02,1.015175e-01,-6.091050e-02,3.516670e-02
0.140000,0.630000,0,1.079173,1.190421e-02,8.594074e-02,-6.091050e-02,3.516670e-02
